dataset,window_size,n_estimators,max_depth,train_accuracy,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,avg_nodes_per_tree,total_nodes,avg_leaves_per_tree,total_leaves,model_file,feature_list_file
ws16,16,1,32,0.9956258751050125,0.9882909490081284,0.9821130350707568,0.9785864424592748,0.9803465672296556,0.9855008664069848,53279,407,489,22347,3849.0,3849,1925.0,1925,random_forest_ws16_trees1_depth32.pkl,feature_list_ws16_trees1_depth32.txt
ws16,16,5,2,0.8389134696163539,0.8345573821907425,0.6560448997117095,0.9367227185146261,0.7716532592619314,0.9613308332890746,42471,11215,1445,21391,6.2,31,3.6,18,random_forest_ws16_trees5_depth2.pkl,feature_list_ws16_trees5_depth2.txt
ws16,16,5,4,0.9863679641556987,0.9864091372415776,0.9966730471242367,0.9576545804869504,0.9767743088123633,0.9919062870997009,53613,73,967,21869,21.8,109,11.4,57,random_forest_ws16_trees5_depth4.pkl,feature_list_ws16_trees5_depth4.txt
ws16,16,5,8,0.991542985158219,0.9914403700896475,0.9983822405967735,0.9728936766509021,0.9854731752755661,0.9960751569950741,53650,36,619,22217,143.8,719,72.4,362,random_forest_ws16_trees5_depth8.pkl,feature_list_ws16_trees5_depth8.txt
ws16,16,5,16,0.9944665359843181,0.9928909333263637,0.9952457122545099,0.9808635487826239,0.9880022936791496,0.9968489959101041,53579,107,437,22399,1262.6,6313,631.8,3159,random_forest_ws16_trees5_depth16.pkl,feature_list_ws16_trees5_depth16.txt
ws16,16,5,32,0.9984710165219827,0.9925642298946709,0.9946683254098725,0.9803380627080049,0.9874512052577024,0.9929536527272528,53566,120,449,22387,3791.4,18957,1896.2,9481,random_forest_ws16_trees5_depth32.pkl,feature_list_ws16_trees5_depth32.txt
ws16,16,10,2,0.8401512181461775,0.8358380596429785,0.6567496643476138,0.9425030653354353,0.7740972521939289,0.9718969475176975,42437,11249,1313,21523,6.6,66,3.8,38,random_forest_ws16_trees10_depth2.pkl,feature_list_ws16_trees10_depth2.txt
ws16,16,10,4,0.9872920750490058,0.9875068607720655,0.9966857350404068,0.9613329830092836,0.9786902055191476,0.9890815690194986,53613,73,883,21953,24.0,240,12.5,125,random_forest_ws16_trees10_depth4.pkl,feature_list_ws16_trees10_depth4.txt
ws16,16,10,8,0.9925735088210585,0.9923551396983874,0.9987000762024295,0.9756524785426519,0.9870417543471037,0.9963394885659095,53657,29,556,22280,155.8,1558,78.4,784,random_forest_ws16_trees10_depth8.pkl,feature_list_ws16_trees10_depth8.txt
ws16,16,10,16,0.9948417810137217,0.9930738872481116,0.9961298932384341,0.9806008057453144,0.9883043516638714,0.9969694022651204,53599,87,443,22393,1360.2,13602,680.6,6806,random_forest_ws16_trees10_depth16.pkl,feature_list_ws16_trees10_depth16.txt
ws16,16,10,32,0.9985438252590311,0.9927471838164188,0.9962581852198317,0.9793746715712034,0.9877442861874793,0.9935369304264307,53602,84,471,22365,3775.4,37754,1888.2,18882,random_forest_ws16_trees10_depth32.pkl,feature_list_ws16_trees10_depth32.txt
ws16,16,25,2,0.8837916549985998,0.8795248425289459,0.7260983628333278,0.9574794184620774,0.825889063060681,0.9709948117834353,45438,8248,971,21865,6.68,167,3.84,96,random_forest_ws16_trees25_depth2.pkl,feature_list_ws16_trees25_depth2.txt
ws16,16,25,4,0.987482497899748,0.9873369749875852,0.9986318237789027,0.9588807146610615,0.9783526573285973,0.9925235634947203,53656,30,939,21897,24.76,619,12.88,322,random_forest_ws16_trees25_depth4.pkl,feature_list_ws16_trees25_depth4.txt
ws16,16,25,8,0.992439092691123,0.9921852539139071,0.9989230907296061,0.9748642494307235,0.9867470413545499,0.9965470073261682,53662,24,574,22262,153.24,3831,77.12,1928,random_forest_ws16_trees25_depth8.pkl,feature_list_ws16_trees25_depth8.txt
